source_row_id,source_domain,source_l4_id,final_l4_id,final_l1_id,final_l3_id,status
SRC-G-0162,General,RAI4-0400,G_SYS_OVERCONF_003,L1_G,G_SYS_OVERCONF,ACTIVE
SRC-G-0163,General,RAI4-0443,G_Others_075,L1_G,G_Others,ACTIVE
SRC-G-0164,General,RAI4-0512,G_Others_142,L1_G,G_Others,ACTIVE
SRC-G-0165,General,RAI4-0549,G_Others_011,L1_G,G_Others,ACTIVE
SRC-G-0166,General,RAI4-0552,G_SYS_INPUT_007,L1_G,G_SYS_INPUT,ACTIVE
SRC-G-0167,General,RAI4-0584,G_Others_021,L1_G,G_Others,ACTIVE
SRC-G-0168,General,RAI4-0608,G_Others_048,L1_G,G_Others,ACTIVE
SRC-G-0169,General,RAI4-0780,G_SYS_EVAL_013,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0170,General,RAI4-0889,G_Others_061,L1_G,G_Others,ACTIVE
SRC-G-0171,General,RAI4-1032,G_SYS_EVAL_032,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0172,General,RAI4-1034,G_Others_086,L1_G,G_Others,ACTIVE
SRC-G-0173,General,RAI4-1036,,,,DELETED
SRC-G-0174,General,RAI4-1037,G_Others_081,L1_G,G_Others,ACTIVE
SRC-G-0175,General,RAI4-1040,G_Others_118,L1_G,G_Others,ACTIVE
SRC-G-0176,General,RAI4-1108,G_Others_026,L1_G,G_Others,ACTIVE
SRC-G-0177,General,RAI4-1109,G_SYS_INPUT_005,L1_G,G_SYS_INPUT,MERGED
SRC-G-0178,General,RAI4-1128,G_Others_090,L1_G,G_Others,ACTIVE
SRC-G-0179,General,RAI4-1280,G_Others_145,L1_G,G_Others,ACTIVE
SRC-G-0180,General,RAI4-1336,G_SYS_EVAL_014,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0181,General,RAI4-1458,G_Others_069,L1_G,G_Others,ACTIVE
SRC-G-0182,General,RAI4-1459,G_SYS_OEXT_008,L1_G,G_SYS_OEXT,ACTIVE
SRC-G-0183,General,RAI4-1461,G_Others_084,L1_G,G_Others,ACTIVE
SRC-G-0184,General,RAI4-1463,G_SOC_ENV_014,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0185,General,RAI4-1466,G_Others_074,L1_G,G_Others,ACTIVE
SRC-G-0186,General,RAI4-1468,G_Others_085,L1_G,G_Others,ACTIVE
SRC-G-0187,General,RAI4-1472,G_SYS_OEXT_010,L1_G,G_SYS_OEXT,ACTIVE
