Register_ID,Action,Status,Output_Keys
HR2-0488,REMAP,APPLIED,K0432
HR2-0489,REWRITE_KEEP,APPLIED,K0595
HR2-0490,REWRITE_KEEP,APPLIED,K0596
HR2-0493,SPLIT,APPLIED,K0564|K0791
HR2-0497,REWRITE_KEEP,APPLIED,K0599
HR2-0498,REMAP,APPLIED,K0600
HR2-0503,REMAP,APPLIED,K0634
HR2-0509,REWRITE_KEEP,APPLIED,K0603
HR2-0530,REMAP,APPLIED,K0461
HR2-0532,SPLIT,APPLIED,K0604|K0604SA_SYS_DECEPT
HR2-0533,REWRITE_KEEP,APPLIED,K0605
HR2-0541,REMAP,APPLIED,K0468
HR2-0542,REMAP,APPLIED,K0469
HR2-0571,REWRITE_KEEP,APPLIED,K0606
HR2-0600,REWRITE_KEEP,APPLIED,K0636
HR2-0601,REWRITE_KEEP,APPLIED,K0637
HR2-0602,REWRITE_KEEP,APPLIED,K0638
HR2-0611,REMAP,APPLIED,K0527
HR2-0621,REMAP,APPLIED,K0650
HR2-0627,REMAP,APPLIED,K0630
HR2-0628,SPLIT,APPLIED,K0631SG_INT_ILLEGAL|K0631SA_SYS_AUTH
HR2-0630,REMAP,APPLIED,K0655
HR2-0632,REMAP,APPLIED,K0531
HR2-0634,REMAP,APPLIED,K0658
HR2-0637,REMAP,APPLIED,K0632
HR2-0681,REMAP,APPLIED,K0538
HR2-0684,REMAP,APPLIED,K0698
HR2-0698,REWRITE_KEEP,APPLIED,K0713
HR2-0700,REWRITE_KEEP,APPLIED,K0792
HR2-0702,REWRITE_KEEP,APPLIED,K0627
HR2-0704,REWRITE_KEEP,APPLIED,K0793
HR2-0705,REWRITE_KEEP,APPLIED,K0794
HR2-0710,REMAP,APPLIED,K0795
HR2-0711,REMAP,APPLIED,K0717
HR2-0717,REWRITE_KEEP,APPLIED,K0629
HR2-0725,REWRITE_KEEP,APPLIED,K0722
HR2-0770,REWRITE_KEEP,APPLIED,K0543
HR2-0794,REWRITE_KEEP,APPLIED,K0781
HR2-0795,REWRITE_KEEP,APPLIED,K0625
HR2-0357,SPLIT,APPLIED,K0562|K0562SG_INT_REPR
